question|answer|distractors
What is 6123 * 4280?|26206440|2497, 9148, 8134
What is 7473 + 7525?|14998|5088, 4258
What is 8746 - 7660?|1086|1290
What is 3422 * 3597?|12308934|136, 5794, 8996
What is 6749 + 4468?|11217|8974
What is 2095 * 6039?|12651705|18, 365, 3430, 4966
What is 7908 + 9650?|17558|3560, 8018, 4331
What is 1922 * 419?|805318|8560, 8414, 4251, 3117
What is 2943 * 8932?|26286876|4360
What is 1010 * 385?|388850|9208, 8112, 3589, 4951
What is 929 + 1554?|2483|3253
What is 4795 * 1112?|5332040|6680, 8002, 2547, 4579
What is 404 * 8398?|3392792|5944
What is 9667 * 8721?|84305907|4221, 999
What is 519 + 2244?|2763|7170, 9532, 5558
What is 783 - 9606?|-8823|3723, 1599
What is 6055 - 1850?|4205|3847
What is 7794 + 7980?|15774|7121
What is 2159 * 4856?|10484104|556
What is 5236 - 807?|4429|3496, 3409, 4772, 5397
What is 7571 - 6721?|850|5107, 4447
What is 4671 * 9289?|43388919|6161, 7194, 5665
What is 4999 + 4315?|9314|2378
What is 7677 * 198?|1520046|8514
What is 3809 * 5880?|22396920|5120
What is 9698 - 5854?|3844|7779
What is 5400 * 4901?|26465400|8882, 8750, 9975
What is 5930 + 7111?|13041|5822, 5377
What is 2931 - 8191?|-5260|7990
What is 9736 + 6904?|16640|9448, 9771, 3228, 9197
What is 5587 * 139?|776593|8208, 3259
What is 5796 * 8827?|51161292|3368, 8002, 4823
What is 6937 * 4094?|28400078|4406, 1166
What is 6840 + 2276?|9116|2119, 7595, 2415
What is 8377 * 7569?|63405513|122
What is 6396 - 3123?|3273|2072, 579, 7381
What is 8484 + 1984?|10468|8857, 6323, 1263, 6583
What is 7971 * 2983?|23777493|3286
What is 1271 * 5996?|7620916|6337, 9347
What is 1012 + 1182?|2194|3279
What is 8637 - 4545?|4092|6071, 4709, 8431
What is 581 * 1610?|935410|3736, 4344, 3772
What is 5056 - 4717?|339|3724, 3155, 4476
What is 6093 + 1658?|7751|873, 6650, 7782
What is 4156 - 8374?|-4218|6785, 1522, 8076, 7033
What is 6748 - 759?|5989|1200, 6120, 8794, 220
What is 451 - 3235?|-2784|2651, 6419
What is 3013 + 6749?|9762|6507
What is 1676 - 9308?|-7632|2268, 3206, 9943
What is 1865 * 5724?|10675260|5388, 2482, 4895
What is 9857 * 9870?|97288590|1212
What is 8073 * 7874?|63566802|3624, 1628, 110, 6399
What is 200 - 1499?|-1299|696, 7810, 5923, 6095
What is 7483 * 3258?|24379614|5344, 5202, 7181
What is 3622 + 6270?|9892|131
What is 1263 + 8509?|9772|6808, 5632, 6981, 5446
What is 3482 - 2165?|1317|3409, 434, 1412
What is 3050 + 6708?|9758|8528, 7783
What is 4984 + 3220?|8204|869
What is 3522 - 152?|3370|3024, 9347, 5206
What is 9904 + 6976?|16880|8074, 1958, 8423
What is 7203 - 7090?|113|3410, 915, 6318, 1375
What is 1170 + 3809?|4979|8361
What is 7435 + 3850?|11285|7093, 6867, 2397, 997
What is 7915 * 8979?|71068785|7511
What is 2650 * 1467?|3887550|8248, 5054, 2693
What is 2299 - 2927?|-628|4024, 7428, 6788
What is 3471 + 8452?|11923|8506, 3658, 8334
What is 1886 * 4121?|7772206|680, 6596, 2605, 3157
What is 2967 - 4155?|-1188|1840, 4828, 2981
What is 2019 * 8812?|17791428|9592, 5495, 9215, 2863
What is 5141 + 7531?|12672|4034, 7467, 9637, 7429
What is 3028 * 1176?|3560928|371, 4748, 7877, 4398
What is 521 - 5531?|-5010|6256, 6537, 3134, 4847
What is 6634 - 8811?|-2177|9721
What is 4621 + 8928?|13549|5769, 5659, 8447
What is 9301 - 6061?|3240|8219, 5491, 319, 3921
What is 5850 - 5260?|590|5854
What is 6745 + 7237?|13982|7056, 2217, 7335
What is 6438 + 2851?|9289|2962, 7269
What is 8849 - 9099?|-250|6432, 272, 9687
What is 5867 + 7745?|13612|1796, 4898, 6725, 7189
What is 4802 * 9978?|47914356|2578
What is 3971 * 7151?|28396621|509, 8531, 207
What is 7506 + 4391?|11897|9080, 4448, 7689, 6567
What is 2483 - 1029?|1454|7059
What is 9645 + 2443?|12088|5648, 851, 5901
What is 7372 - 346?|7026|6817, 1787, 7133, 8815
What is 6692 + 7748?|14440|3994, 6603
What is 7116 + 9660?|16776|4722
What is 6311 - 761?|5550|3409, 4603, 6511, 2585
What is 6093 + 2029?|8122|8337
What is 8227 * 4206?|34602762|5624, 2489, 4861
What is 8511 * 6419?|54632109|5525
What is 7227 + 255?|7482|2258, 3458
What is 6088 - 6287?|-199|4988, 7140
What is 446 - 3325?|-2879|6272, 5627, 6465, 3743
What is 9254 * 382?|3535028|5984, 6699, 3891, 2718
What is 292 + 8165?|8457|4608, 6009
What is 5938 - 2041?|3897|7505, 110, 8753
What is 7230 * 5730?|41427900|9020, 6267
What is 1684 * 7227?|12170268|302, 6918
What is 122 + 7554?|7676|5777, 7611, 7525, 9902
What is 1177 + 4836?|6013|8517
What is 6277 - 3987?|2290|3613, 4202
What is 9651 * 1505?|14524755|7858, 3326
What is 2497 + 2238?|4735|5907
What is 4696 * 4555?|21390280|3624, 7381
What is 7335 + 4928?|12263|6432, 5257, 821
What is 8325 * 4138?|34448850|1584, 3721, 7716
What is 642 * 5025?|3226050|1001, 9741, 5278, 5425
What is 7850 - 1807?|6043|2560
What is 9558 + 7945?|17503|5728, 7514
What is 2409 + 2741?|5150|3972, 8326
What is 3877 * 4011?|15550647|578, 8334, 8402, 1198
What is 3806 + 6535?|10341|2905, 2455
What is 7717 * 9924?|76583508|664, 8225, 9610, 3247
What is 3065 * 3777?|11576505|9256, 4803, 1790
What is 7867 - 6597?|1270|24, 6507, 5798, 991
What is 279 * 6810?|1899990|4217, 678, 3157
What is 7414 * 6244?|46293016|4451
What is 3501 - 3760?|-259|6112, 6223, 7779, 1429
What is 8785 * 219?|1923915|9169, 7716, 1421
What is 8409 * 1850?|15556650|5264, 6089, 3650, 5775
What is 8682 - 6025?|2657|9078, 5681
What is 7089 + 7114?|14203|5553, 6332, 8781
What is 3521 - 7116?|-3595|7799, 8911
What is 7457 * 2730?|20357610|3368, 7361, 5475, 9077
What is 1186 * 3551?|4211486|6961, 9650, 8852
What is 6976 * 8023?|55968448|2819, 7942, 4095
What is 1485 - 2474?|-989|504, 915, 4803
What is 8018 - 8739?|-721|9201, 1137
What is 3339 + 5421?|8760|3497, 7971, 5549
What is 6841 * 7787?|53270867|2689
What is 375 * 1494?|560250|2536, 3856, 8053, 2422
What is 48 + 6176?|6224|785, 7530, 3341
What is 7906 - 6292?|1614|6128, 1177, 6804, 2313
What is 3714 + 9864?|13578|2902, 607
What is 1181 - 6631?|-5450|992, 2824, 1622, 2079
What is 2956 - 7230?|-4274|985, 311, 1286, 8701
What is 2320 + 9927?|12247|1639, 3972
What is 7320 + 5789?|13109|120, 4604, 5803, 3780
What is 138 - 2158?|-2020|9002, 349, 5794
What is 6135 + 7570?|13705|3953
What is 2072 * 2031?|4208232|1416, 4085
What is 123 * 2241?|275643|7209, 7090, 1750, 9065
What is 3421 - 2850?|571|2691, 4261, 8838, 1423
What is 7122 + 4185?|11307|8242, 9283, 7018
What is 7498 - 8542?|-1044|3660, 7604, 3326
What is 7950 - 2659?|5291|4232, 2055, 1662, 6951
What is 6867 - 6988?|-121|4682, 735, 6748, 9342
What is 2227 * 697?|1552219|6587, 6943
What is 3972 * 1074?|4265928|8475, 6726, 1990
What is 6108 - 5511?|597|9080, 2194, 3943, 5157
What is 5669 + 5111?|10780|1752, 3242, 4706
What is 8915 * 5222?|46554130|5693
What is 4949 * 6948?|34385652|3204
What is 8354 * 3813?|31853802|7410, 3325, 4669
What is 824 - 4992?|-4168|4776, 7747, 1797, 4207
What is 205 - 1856?|-1651|969, 6611, 3892, 6943
What is 3874 - 5302?|-1428|8913, 7199, 4583
What is 2767 + 145?|2912|3040, 5603, 4069, 2039
What is 3941 + 4279?|8220|3729, 1674, 4893
What is 2361 * 6652?|15705372|5280
What is 716 - 4992?|-4276|776, 8546, 4861, 6094
What is 5459 + 2400?|7859|8602, 6778, 3933
What is 3700 + 6347?|10047|7474, 107, 9378, 4198
What is 6352 * 2901?|18427152|6417, 1314, 1299
What is 5336 * 1733?|9247288|6634, 7707, 6709
What is 7097 + 4766?|11863|7266, 418, 2666
What is 4755 * 7635?|36304425|5267, 4292, 461
What is 3235 * 9661?|31253335|681, 8031, 6575
What is 6359 * 7134?|45365106|6587, 6516, 1138
What is 2453 * 406?|995918|6342, 3406, 1415
What is 4337 * 1237?|5364869|7457, 4263, 334, 8069
What is 7039 * 307?|2160973|5468, 6434, 7514, 7877
What is 3105 * 1160?|3601800|5285, 5894
What is 3178 - 894?|2284|6292, 6603, 8206
What is 2988 - 1305?|1683|7802, 5219, 1439
What is 3541 * 5774?|20445734|8342
What is 6148 * 188?|1155824|8186, 2331, 8629
What is 9887 * 7025?|69456175|4113, 6426, 70
What is 8534 * 4688?|40007392|8171, 8500, 445, 3038
What is 1030 * 4703?|4844090|8293, 1674
What is 6192 * 4076?|25238592|7012, 6454, 6670
What is 2476 + 7478?|9954|7457, 1092, 637, 7990
What is 5442 + 4864?|10306|8220, 559
What is 516 * 6878?|3549048|3436
What is 2083 * 3065?|6384395|6690
What is 5198 + 9343?|14541|4432, 7329, 1828, 3493
What is 3334 - 3322?|12|4263
What is 8637 * 4558?|39367446|1922, 7267, 4074
What is 1507 * 7712?|11621984|4344, 8603, 6600, 1182
What is 2578 + 5935?|8513|1796, 9221
What is 5524 - 4600?|924|3368, 7640, 5342, 9927
What is 8711 * 2860?|24913460|408, 8168, 7491, 5347
What is 8523 * 7265?|61919595|4140, 365, 4430, 2183
What is 6277 - 727?|5550|6560, 4840, 3986
What is 4146 - 5934?|-1788|9083
What is 7033 * 2737?|19249321|4412, 4701, 9934, 3409
What is 864 + 6159?|7023|9310
What is 9912 - 2975?|6937|4338, 7091, 4389
What is 4527 * 1250?|5658750|6727
What is 9751 - 6287?|3464|9777
What is 5622 * 1424?|8005728|9504, 9460, 3495
What is 9968 * 7279?|72557072|873, 3197, 5486
What is 3497 - 6122?|-2625|4898, 5299
What is 7258 - 5269?|1989|3837
What is 3787 * 3476?|13163612|1485, 3639
What is 8221 - 2112?|6109|4826, 7068, 4514, 7628
What is 5508 * 8617?|47462436|540
What is 2125 * 3026?|6430250|1846
What is 8991 - 4544?|4447|9458, 1156
What is 1707 + 8021?|9728|6514, 7274
What is 2762 + 7426?|10188|4188, 3070
What is 9102 - 6905?|2197|9289, 84, 3126
What is 7759 + 6109?|13868|16, 2224
What is 525 - 2260?|-1735|2138, 3889, 3927
What is 6149 + 1227?|7376|596, 9236, 6167
What is 6387 - 853?|5534|4432, 4926
What is 376 - 296?|80|3960, 9859
What is 8722 + 3310?|12032|3295
What is 4835 - 3590?|1245|9847
What is 19 + 8914?|8933|9440, 3363, 2595
What is 6711 * 3577?|24005247|7638
What is 6906 * 3293?|22741458|5897, 6187, 4962, 3454
What is 4736 * 9218?|43656448|7343, 9631
What is 3887 - 1361?|2526|8511, 7687
What is 7541 - 5045?|2496|677
What is 8318 - 2511?|5807|664
What is 9678 - 3460?|6218|7610
What is 7770 - 9275?|-1505|4384, 2791, 2060, 1805
What is 1018 * 5948?|6055064|2174
What is 2307 - 5038?|-2731|2944
What is 666 * 2156?|1435896|8368, 5666
What is 8995 * 9386?|84427070|4306, 2223, 9902, 9799
What is 7699 * 6390?|49196610|3769, 4639
What is 5416 - 9654?|-4238|7234
What is 9597 * 3383?|32466651|2642
What is 5240 * 9734?|51006160|5992, 2162, 1591
What is 5283 - 4836?|447|9992
What is 8975 * 9284?|83323900|5124, 4972, 5049
What is 7876 - 3232?|4644|6810, 1259
What is 2015 * 3229?|6506435|8680, 8056, 2442, 6611
What is 9296 - 3131?|6165|3089, 7116, 7590, 5758
What is 1909 + 9624?|11533|4864, 64, 3613
What is 7979 * 4573?|36487967|3277
What is 6542 - 2879?|3663|5665, 2761, 6933, 5310
What is 8066 * 4966?|40055756|7467, 7891, 7093, 6605
What is 1788 - 1477?|311|6302, 4078
What is 6639 - 8206?|-1567|8947, 8100, 1931, 5407
What is 6475 - 4499?|1976|9329, 1949
What is 822 - 3382?|-2560|3328, 8321
What is 4957 * 520?|2577640|9497, 6435, 8220, 4389
What is 3036 * 1243?|3773748|3165
What is 2099 - 627?|1472|5397, 46
What is 4057 + 7027?|11084|4948, 767, 1617
What is 1207 - 2789?|-1582|6000, 8840, 5562
What is 6340 * 666?|4222440|6653, 502, 4197
What is 5713 + 6125?|11838|7606
What is 256 * 1641?|420096|7814
What is 9939 + 7083?|17022|9771
What is 5236 - 6340?|-1104|7782
What is 6159 - 5961?|198|4286, 3253, 8127
What is 1063 * 8019?|8524197|2752, 4562
What is 2510 + 6573?|9083|440, 3282, 2564
What is 1567 * 9662?|15140354|7192
What is 3547 * 5522?|19586534|5586, 251, 9981
What is 7930 - 3508?|4422|5313
What is 2026 * 8932?|18096232|6305, 1208
What is 7500 - 4795?|2705|2783
What is 7065 * 5416?|38264040|6152, 3533
What is 7973 - 2452?|5521|5267, 8429, 7030, 3889
What is 871 - 7614?|-6743|8962, 1139
What is 2625 - 8376?|-5751|2293, 3822, 4977
What is 2306 - 511?|1795|1562, 8614, 3711
What is 7229 - 3481?|3748|6200
What is 6428 + 9402?|15830|4354, 6620, 2271
What is 4353 * 4782?|20816046|7920, 1804, 9534, 2605
What is 6374 - 3080?|3294|6607
What is 1642 + 1862?|3504|8192, 5299, 6115
What is 5865 - 1501?|4364|4505, 1061
What is 2565 + 753?|3318|9830, 6267, 1774, 8582
What is 1661 * 3783?|6283563|504, 6920, 8546, 4507
What is 9019 + 9177?|18196|8699, 5397, 7254
What is 4715 * 2119?|9991085|8289, 788, 1789
What is 3341 * 4273?|14276093|6267, 36, 2519, 7667
What is 7390 + 7312?|14702|8297, 9079
What is 7342 + 7467?|14809|7536, 926
What is 4825 + 7343?|12168|7068, 4214, 2775
What is 7401 + 2233?|9634|3650
What is 4869 * 8438?|41084622|7274, 6419
What is 9505 - 5608?|3897|8144, 7642, 4517, 3393
What is 401 - 4019?|-3618|6491, 8005
What is 6869 - 4862?|2007|7224, 7530, 4117, 7790
What is 9104 - 174?|8930|5712, 184, 5964, 1594
What is 5590 + 3474?|9064|2976, 8220
What is 2814 + 4881?|7695|5321, 3879, 6577, 1513
What is 7147 * 9070?|64823290|1854, 879
What is 5074 - 8630?|-3556|1992, 512, 29, 3613
What is 6582 - 7181?|-599|5332, 7799, 5791, 1367
What is 1105 - 3074?|-1969|9937, 3117
What is 432 * 7849?|3390768|4980, 5525, 8342, 1663
What is 6493 - 8725?|-2232|9891, 7172
What is 9633 + 3701?|13334|6699, 8347
What is 4135 * 1075?|4445125|5395, 5916, 9663
What is 5363 + 554?|5917|5956
What is 3860 + 1877?|5737|3040, 8612
What is 5254 + 9923?|15177|2417
What is 6797 + 549?|7346|8849, 403, 7133, 7379
What is 2115 + 2834?|4949|6121
What is 303 - 6035?|-5732|844
What is 8729 - 3142?|5587|7688, 396, 7493, 9781
What is 5297 - 55?|5242|8962, 7154, 8383
What is 5446 - 4539?|907|1909, 9301, 7879, 4749
What is 9301 * 3535?|32879035|8817, 9780, 1629
What is 9161 + 152?|9313|2152, 7538, 8852
What is 7605 * 1897?|14426685|3509
What is 4411 + 2567?|6978|6460, 2982
What is 5574 * 8928?|49764672|5753, 507, 2332
What is 2070 + 165?|2235|6848
What is 5274 + 2182?|7456|4553, 9706, 7955, 9373
What is 3110 - 9736?|-6626|3905, 7402, 3939, 1155
What is 6120 * 7787?|47656440|3610, 908
What is 961 - 6130?|-5169|9258, 8247
What is 5324 - 3719?|1605|3165
What is 5683 * 4941?|28079703|1891, 1693
What is 1624 - 6507?|-4883|3370
What is 8454 - 6109?|2345|2388, 8297
What is 1696 * 1478?|2506688|4392, 1994
What is 6620 * 5043?|33384660|1648, 733
What is 8078 + 4786?|12864|3497, 6299, 4159
What is 4685 - 1857?|2828|7416, 7205, 6863
What is 9028 + 3264?|12292|2704, 1073, 1750, 3959
What is 3802 + 5790?|9592|1718, 2151
What is 8567 + 2206?|10773|6065, 1610, 7499, 2987
What is 7677 * 5862?|45002574|5078, 9025, 8922, 2429
What is 9788 + 7636?|17424|2001
What is 4361 * 8179?|35668619|8538, 5684, 3949, 8031
What is 9095 - 1032?|8063|6357, 5118
What is 332 + 6569?|6901|6579, 5758
What is 4966 + 1288?|6254|9178, 1412
What is 476 - 3499?|-3023|8576, 3860
What is 6826 + 4443?|11269|9650, 8171, 2183
What is 2134 * 8969?|19139846|873, 3996, 8166
What is 235 - 131?|104|2681, 6807, 3047
What is 2504 - 7438?|-4934|2594
What is 8633 + 5134?|13767|5947
What is 204 + 4640?|4844|3172, 2886
What is 341 - 4577?|-4236|8088, 6515, 6155
What is 9290 - 827?|8463|6077
What is 9678 - 8227?|1451|7378, 9917
What is 3664 - 3747?|-83|9270, 3364, 4014, 1373
What is 5498 - 6390?|-892|2658, 3861
What is 4647 + 7826?|12473|2087, 2223
What is 4402 * 548?|2412296|5393, 6877, 5006
What is 2414 + 4593?|7007|4386, 8239, 3380, 6989
What is 3759 * 3107?|11679213|2705, 7562, 3373, 8581
What is 9170 + 6265?|15435|6321, 1115, 9789, 4711
What is 5427 * 481?|2610387|6357, 4807
What is 8691 * 9857?|85667187|9897, 2791
What is 8861 * 6411?|56807871|7479
What is 7500 - 2793?|4707|8996, 7883, 5847
What is 3488 + 331?|3819|8066
What is 2222 - 1799?|423|9010, 8182
What is 83 * 5035?|417905|1600, 1921, 7841
What is 5764 - 5273?|491|5492
What is 8314 - 4874?|3440|6592
What is 6159 - 538?|5621|1067, 6867, 7783
What is 6550 + 7199?|13749|4160, 9631
What is 6909 * 4310?|29777790|3648, 8395, 8334, 3935
What is 2910 - 4968?|-2058|9168
What is 1454 * 6031?|8769074|1689, 5277
What is 2563 - 4169?|-1606|7648, 8049, 5267
What is 1378 + 9001?|10379|2354, 644
What is 6459 * 7425?|47958075|7122
What is 9084 * 9791?|88941444|1280
What is 6031 + 5117?|11148|5937, 1963
What is 9572 - 4433?|5139|2630
What is 2870 + 1363?|4233|4803, 9077
What is 9039 * 8931?|80727309|556, 6082, 4028, 5719
What is 7428 * 3556?|26413968|4345, 927, 289
What is 7451 * 620?|4619620|4412, 2921
What is 5469 + 7008?|12477|8032, 4031
What is 9801 - 1958?|7843|6849, 2330, 2743
What is 4864 + 5965?|10829|5267, 686, 9143
What is 4443 * 5577?|24778611|6761, 1604
What is 246 - 7026?|-6780|5045
What is 9803 + 3193?|12996|8112, 9168
What is 1562 - 7712?|-6150|2800, 9930
What is 7063 - 7168?|-105|6336, 94
What is 9621 * 4043?|38897703|8567, 1421, 3494
What is 5335 * 2729?|14559215|2183, 8213, 3574
What is 9409 + 627?|10036|5796, 4717, 2902
What is 2334 - 7359?|-5025|3550
What is 718 * 6127?|4399186|1928, 4490, 3850
What is 5156 + 3896?|9052|4887, 1220, 6719, 983
What is 8607 * 702?|6042114|9697
What is 8792 - 8165?|627|7634, 3509, 3118, 1279
What is 3356 * 3862?|12960872|8657, 5170, 700, 1836
What is 5006 * 1131?|5661786|5352, 282, 6282, 7765
What is 8254 - 9841?|-1587|6850, 8473, 5746, 3766
What is 9178 - 7232?|1946|9439, 6607, 3375
What is 2836 + 5412?|8248|8302
What is 1843 + 5095?|6938|6434, 300, 2605, 7298
What is 8929 - 4386?|4543|1808, 5657, 6259, 68
What is 1125 - 8125?|-7000|2130, 6693
What is 8104 + 4535?|12639|7170, 7563, 725, 3047
What is 9834 - 2472?|7362|9681, 7854, 7638
What is 7476 * 2252?|16835952|9840
What is 653 * 4084?|2666852|3763, 1445
What is 9453 * 7887?|74555811|7104, 5553
What is 7478 * 4671?|34929738|3504, 6525, 9858
What is 9155 * 8524?|78037220|6155, 9104, 242, 4347
What is 4768 * 1539?|7337952|6746
What is 1316 - 4107?|-2791|8013, 3301, 8918, 4221
What is 3844 * 9601?|36906244|6152, 8530
What is 1791 * 8803?|15766173|7632, 5954, 7780, 4575
What is 6146 - 9876?|-3730|9706, 3772, 2981, 5239
What is 4436 * 7153?|31730708|1016
What is 1465 - 3139?|-1674|5136, 1862, 3535
What is 7113 - 8518?|-1405|242
What is 7286 * 8397?|61180542|7459
What is 8276 - 675?|7601|7481, 5737, 6841
What is 7207 * 5149?|37108843|6408, 3961, 1378, 8029
What is 7625 + 7620?|15245|9728, 2791, 3413
What is 7515 * 4230?|31788450|9722, 7639
What is 5037 + 5761?|10798|5382
What is 8489 + 8109?|16598|7151, 8239
What is 2887 * 6954?|20076198|4553, 8330, 1994, 241
What is 3888 - 1009?|2879|8765, 5131, 3285
What is 3816 * 8820?|33657120|607
What is 4990 - 228?|4762|4850
What is 3236 - 7161?|-3925|6548, 4219
What is 9046 * 2815?|25464490|6591
What is 2610 + 5497?|8107|5379, 4434, 8396
What is 8779 * 2278?|19998562|6890, 4732, 7410
What is 1786 - 3145?|-1359|7072, 7132, 7726
What is 8048 + 4785?|12833|6867, 9427, 6209
What is 9645 * 1503?|14496435|910
What is 2205 + 7574?|9779|9168, 5299, 5571
What is 3940 + 1380?|5320|3569, 8707, 4152
What is 1859 + 1948?|3807|8697
What is 5873 - 7355?|-1482|3496
What is 9723 - 6516?|3207|7568, 2354, 9495, 8469
What is 2230 + 9327?|11557|8964
What is 8728 * 4292?|37460576|2931, 9342
What is 5135 * 3766?|19338410|9632, 2383
What is 8192 - 9071?|-879|321
What is 922 - 893?|29|3691, 3150, 671
What is 4152 * 6341?|26327832|5121, 3026, 6631
What is 8107 + 7153?|15260|110
What is 3435 + 548?|3983|1632, 249, 9706, 9905
What is 2565 - 1845?|720|9922
What is 3044 + 1842?|4886|7835, 100, 5406
What is 3149 + 6400?|9549|5984, 8741
What is 8079 + 6831?|14910|3449
What is 9917 * 9203?|91266151|794, 3739
What is 8494 - 9971?|-1477|4506
What is 7685 * 6099?|46870815|9776, 5681, 9339, 5503
What is 9586 - 6361?|3225|9264, 4040, 4640
What is 2783 - 9629?|-6846|1246
What is 15 * 4529?|67935|3761, 2007
What is 4791 * 3228?|15465348|7804, 4413, 9511
What is 1163 * 7333?|8528279|6001, 8010, 8635, 6758
What is 8890 * 5871?|52193190|3110, 4844, 9758, 351
What is 9866 - 290?|9576|2860
What is 7680 + 9750?|17430|1542, 7493, 182
What is 8857 * 3309?|29307813|7668
What is 2208 - 9172?|-6964|7776, 6817, 7154, 2426
What is 3331 + 9163?|12494|8338, 3414
What is 2785 - 8008?|-5223|577
What is 9407 * 1318?|12398426|5154, 7437
What is 197 * 9402?|1852194|6172, 374, 918
What is 227 + 5316?|5543|9738, 6095, 1309, 686
What is 5198 * 7573?|39364454|9775, 8219, 1125, 7035
What is 5597 * 9817?|54945749|5052, 2669
What is 1819 * 9565?|17398735|8042, 3650, 5693, 574
What is 4472 - 8752?|-4280|1528, 8027, 3269, 6773
What is 9710 + 3251?|12961|283
What is 4683 * 6557?|30706431|9752, 4023, 29
What is 9755 - 701?|9054|2486
What is 8999 + 3395?|12394|4017, 2154, 8741
What is 9394 - 2829?|6565|3825, 8684, 3455
What is 5646 - 2568?|3078|3022
What is 8207 * 7342?|60255794|8356, 3839
What is 9541 * 6598?|62951518|4807, 9622, 3319
What is 7046 - 5405?|1641|8650
What is 4967 + 6534?|11501|5781, 4943
What is 1967 * 647?|1272649|864
What is 1079 - 1390?|-311|5000, 8111
What is 6403 + 334?|6737|5202, 6547, 8530, 7765
What is 3226 + 6987?|10213|6122
What is 3407 + 4172?|7579|3379, 8732, 4997
What is 3267 + 2243?|5510|1280, 51, 1420
What is 6770 - 5440?|1330|8920, 569, 9179, 4402
What is 5531 + 937?|6468|8561
What is 8308 + 4351?|12659|4563, 2797, 3286, 9981
What is 1521 + 1761?|3282|5969, 8250
What is 3411 + 943?|4354|6936, 2154, 5686
What is 8654 + 2091?|10745|362, 6299, 6454
What is 962 - 300?|662|7835
What is 631 - 8731?|-8100|5916, 1635
What is 4066 * 6781?|27571546|9537, 3469, 4709
What is 714 * 7349?|5247186|6120, 6298
What is 4948 - 9868?|-4920|1504, 7939, 7895, 4873
What is 8034 - 2447?|5587|7876, 7756, 3975
What is 8678 + 5417?|14095|1920, 5416, 4634, 9807
What is 441 + 6436?|6877|8920, 6998, 598
What is 2027 - 1331?|696|9888, 1986, 5415, 7799
What is 4420 * 5288?|23372960|3448, 1714, 107, 4423
What is 777 - 6380?|-5603|6025, 5491, 3684, 1227
What is 582 + 9766?|10348|9637
What is 505 - 9911?|-9406|6611, 582, 3455
What is 5989 + 2785?|8774|5376
What is 3857 - 2850?|1007|3048, 534
What is 2328 * 4282?|9968496|5177, 670
What is 2940 - 695?|2245|8749
What is 4391 * 6576?|28875216|9104, 1704, 8796, 8751
What is 196 - 5348?|-5152|390, 6590, 8559
What is 5213 + 1060?|6273|9103, 950, 231
What is 1617 + 6318?|7935|3535
What is 1557 - 6759?|-5202|3977, 6661
What is 6868 - 2138?|4730|9480, 9901, 4733
What is 1659 + 2533?|4192|3148, 4031
What is 5845 + 2223?|8068|7475, 4293, 1691
What is 2156 - 1806?|350|3809, 450, 6471
What is 8522 - 8737?|-215|3451, 7795, 173, 6725
What is 6607 + 4595?|11202|8857, 4682, 2591
What is 9878 + 4246?|14124|6848, 4346
What is 6533 + 8329?|14862|5384, 5167
What is 8708 * 1766?|15378328|7474, 2079
What is 5405 * 9054?|48936870|9937, 6332, 9910, 6663
What is 255 * 2164?|551820|9450, 9014, 671
What is 6450 - 7745?|-1295|5293, 9822
What is 1622 * 4706?|7633132|9517, 4853
What is 3026 * 3056?|9247456|7015, 6276, 1799
What is 8045 - 9829?|-1784|3687, 9031
What is 6007 * 9036?|54279252|5656, 3228, 5284, 7070
What is 4908 + 8059?|12967|5056, 8689, 378, 5635
What is 1763 - 6552?|-4789|2417, 2282, 1694
What is 7281 - 1693?|5588|7833, 3847
What is 7357 + 6011?|13368|8840, 5653, 5670
What is 1430 - 8196?|-6766|2715
What is 9541 + 8477?|18018|7441, 7098
What is 2547 + 4625?|7172|3272
What is 954 * 9840?|9387360|5728, 5738, 3759, 9015
What is 3476 - 6197?|-2721|6600, 3841, 9588
What is 3424 - 6479?|-3055|3290, 9753, 1301, 5743
What is 2949 - 5185?|-2236|3977, 3962, 3372
What is 9783 - 5876?|3907|5104, 5948
What is 7655 * 9340?|71497700|2889, 9490, 4197, 967
What is 8231 - 2676?|5555|9683, 2342
What is 4015 + 186?|4201|8120, 9890, 6387
What is 9838 * 3174?|31225812|4220
What is 9455 + 9176?|18631|7360, 4130, 1943, 9534
What is 5822 + 951?|6773|6395
What is 7665 * 1883?|14433195|9091, 6573
What is 2981 + 9778?|12759|7255, 1523
What is 2175 - 8947?|-6772|9997, 7430
What is 5600 * 6072?|34003200|7141
What is 6744 * 7826?|52778544|67
What is 6515 * 7415?|48308725|1556, 4679, 773, 2071
What is 5543 * 1619?|8974117|7737, 7779, 4582, 9757
What is 420 * 6481?|2722020|9505, 5419
What is 8851 + 1821?|10672|7696, 2694, 4655
What is 3133 + 788?|3921|7200, 883, 4871
What is 5003 + 133?|5136|5077
What is 1284 * 5197?|6672948|9840, 3722, 8783
What is 6268 + 5597?|11865|9168
What is 4573 + 9862?|14435|5922, 4370, 8294
What is 9784 + 2826?|12610|1256, 345, 5178
What is 6144 - 2088?|4056|8392, 1652, 5132
What is 2949 - 360?|2589|3140
What is 4748 - 8146?|-3398|1992, 530
What is 6405 * 9791?|62711355|4136, 1184
What is 2198 + 4083?|6281|607, 799, 7326, 3281
What is 5516 + 4281?|9797|7432, 8723
What is 5342 + 5983?|11325|1273, 3555, 7638, 6167
What is 1394 * 2057?|2867458|6708, 3093
What is 3264 - 2728?|536|4879
